ROW,CAT,Date,Type,Class,headCount
230,REC,9/1/2011,Reception,Opening Reception for Public,98
231,REC,1/25/2012,Reception,Members Reception,85
232,REC,5/4/2012,Reception,ART 498 (Pepper Stetler) Reception,80
233,REC,10/16/2012,Reception,Private Reception,49
234,REC,11/1/2012,Reception,Memorial Reception for Helen Snicker Son,55
235,REC,11/29/2012,Reception,Symposium Reception,40
236,REC,1/23/2013,Reception,Public Open Hour Rec.,11
237,REC,2/13/2013,Reception,Retirement Rec. for Dept. of Philosophy,62
238,REC,8/29/2013,Reception,ABFAs Reception,27
239,REC,9/10/2013,Reception,35@35 Rec. Invite only,96
240,REC,1/27/2014,Reception,VIP Preview,76
241,REC,1/29/2014,Reception,Student Reception,68
242,MP,6/30/2011,Museum Programs (MP),Eng. Poetry Reading,41
243,MP,9/8/2011,Museum Programs (MP),Lecture (Ann Van) and reception,28
244,MP,9/15/2011,Museum Programs (MP),Art Critic Lecture (Anthony Torres)  ,20
245,MP,10/6/2011,Museum Programs (MP),Lecture (Lisa Farrington),55
246,MP,11/9/2011,Museum Programs (MP),Lecture,13
247,MP,2/8/2012,Museum Programs (MP),Lecture (Sara Butler) ,34
248,MP,2/21/2012,Museum Programs (MP),"Lecture (Catherine Evans, Curator of Photography, Columbus Museum of Art) ",35
249,MP,2/28/2012,Museum Programs (MP),Tai Chi,5
250,MP,3/28/2012,Museum Programs (MP),Wearing Women into History,10
